business_id,account_name,account_full_name,account_type
2,Bookkeeper,Bookkeeper,Expenses
2,Lawyer,Lawyer,Expenses
2,Maintenance and Repair,Maintenance and Repair,Expenses
2,Building Repairs,Building Repairs,Expenses
2,Computer Repairs,Computer Repairs,Expenses
2,Advertising,Advertising,Expenses
2,Bank Charges,Bank Charges,Expenses
2,Commissions & fees,Commissions & fees,Expenses
2,Dues & Subscriptions,Dues & Subscriptions,Expenses
2,Insurance,Insurance,Expenses
2,Legal & Professional Fees,Legal & Professional Fees,Expenses
2,Meals and Entertainment,Meals and Entertainment,Expenses
2,Miscellaneous,Miscellaneous,Other Expense
2,Office Expenses,Office Expenses,Expenses
2,Promotional,Promotional,Expenses
2,Rent or Lease,Rent or Lease,Expenses
2,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
2,Stationery & Printing,Stationery & Printing,Expenses
2,Supplies,Supplies,Expenses
2,Taxes & Licenses,Taxes & Licenses,Expenses
2,Travel,Travel,Expenses
2,Travel Meals,Travel Meals,Expenses
2,Utilities,Utilities,Expenses
2,Interest Earned,Interest Earned,Other Income
2,Other Portfolio Income,Other Portfolio Income,Other Income
2,Penalties & Settlements,Penalties & Settlements,Other Expense
2,Disposal Fees,Disposal Fees,Expenses
2,Equipment Rental,Equipment Rental,Expenses
2,Uncategorized Income,Uncategorized Income,Income
2,Uncategorized Expense,Uncategorized Expense,Expenses
2,Uncategorized Asset,Uncategorized Asset,Other Current Assets
2,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
2,Coffee and snack shops,Coffee and snack shops,Income
2,Checking,Checking,Bank
2,Savings,Savings,Bank
2,Truck,Truck,Fixed Assets
2,Original Cost,Original Cost,Fixed Assets
2,Depreciation,Depreciation,Fixed Assets
2,Depreciation,Depreciation,Other Expense
2,Mastercard,Mastercard,Credit Card
2,Visa,Visa,Credit Card
2,Loan Payable,Loan Payable,Other Current Liabilities
2,Notes Payable,Notes Payable,Long Term Liabilities
2,Fast food restaurants,Fast food restaurants,Income
2,Job Materials,Job Materials,Income
2,Decks and Patios,Decks and Patios,Income
2,Campground and RV park services,Campground and RV park services,Income
2,Street vending locations,Street vending locations,Income
2,Other food services,Other food services,Income
2,Labor,Labor,Income
2,Installation,Installation,Income
2,Maintenance and Repair,Maintenance and Repair,Income
2,Catering services,Catering services,Income
2,Automobile,Automobile,Expenses
2,Fuel,Fuel,Expenses
2,Workers Compensation,Workers Compensation,Expenses
2,Job Expenses,Job Expenses,Expenses
2,Cost of Labor,Cost of Labor,Expenses
2,Installation,Installation,Expenses
2,Maintenance and Repairs,Maintenance and Repairs,Expenses
2,Equipment Repairs,Equipment Repairs,Expenses
2,Gas and Electric,Gas and Electric,Expenses
2,Telephone,Telephone,Expenses
2,Purchases,Purchases,Expenses
2,Bars and nightclubs,Bars and nightclubs,Income
2,Hotels and motel services,Hotels and motel services,Income
2,Full-service restaurants,Full-service restaurants,Income
2,Design income,Design income,Income
2,Other Income,Other Income,Income
2,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
2,Billable Expense Income,Billable Expense Income,Income
2,Discounts given,Discounts given,Income
2,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
2,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
2,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
2,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
2,Services,Services,Income
2,Retained Earnings,Retained Earnings,Equity
2,Prepaid Expenses,Prepaid Expenses,Other Current Assets
2,Undeposited Funds,Undeposited Funds,Other Current Assets
2,Equipment Rental,Equipment Rental,Expenses
2,Fees Billed,Fees Billed,Income
2,Refunds-Allowances,Refunds-Allowances,Income
2,Job Materials,Job Materials,Expenses
2,Decks and Patios,Decks and Patios,Expenses
2,Other accommodation services,Other accommodation services,Income
2,Street vending locations,Street vending locations,Income
2,Other food services,Other food services,Income
2,Permits,Permits,Expenses
2,Accounting,Accounting,Expenses
