business_id,account_name,account_full_name,account_type
14,Bookkeeper,Bookkeeper,Expenses
14,Lawyer,Lawyer,Expenses
14,Maintenance and Repair,Maintenance and Repair,Expenses
14,Building Repairs,Building Repairs,Expenses
14,Computer Repairs,Computer Repairs,Expenses
14,Advertising,Advertising,Expenses
14,Bank Charges,Bank Charges,Expenses
14,Commissions & fees,Commissions & fees,Expenses
14,Dues & Subscriptions,Dues & Subscriptions,Expenses
14,Insurance,Insurance,Expenses
14,Legal & Professional Fees,Legal & Professional Fees,Expenses
14,Meals and Entertainment,Meals and Entertainment,Expenses
14,Miscellaneous,Miscellaneous,Other Expense
14,Office Expenses,Office Expenses,Expenses
14,Promotional,Promotional,Expenses
14,Rent or Lease,Rent or Lease,Expenses
14,Repair & Maintenance (deleted),Repair & Maintenance (deleted),Expenses
14,Stationery & Printing,Stationery & Printing,Expenses
14,Supplies,Supplies,Expenses
14,Taxes & Licenses,Taxes & Licenses,Expenses
14,Travel,Travel,Expenses
14,Travel Meals,Travel Meals,Expenses
14,Utilities,Utilities,Expenses
14,Interest Earned,Interest Earned,Other Income
14,Other Portfolio Income,Other Portfolio Income,Other Income
14,Penalties & Settlements,Penalties & Settlements,Other Expense
14,Disposal Fees,Disposal Fees,Expenses
14,Equipment Rental,Equipment Rental,Expenses
14,Uncategorized Income,Uncategorized Income,Income
14,Uncategorized Expense,Uncategorized Expense,Expenses
14,Uncategorized Asset,Uncategorized Asset,Other Current Assets
14,Accounts Payable (A/P),Accounts Payable (A/P),Accounts payable (A/P)
14,Project planning and economic assessments,Project planning and economic assessments,Income
14,Checking,Checking,Bank
14,Savings,Savings,Bank
14,Truck,Truck,Fixed Assets
14,Original Cost,Original Cost,Fixed Assets
14,Depreciation,Depreciation,Fixed Assets
14,Depreciation,Depreciation,Other Expense
14,Mastercard,Mastercard,Credit Card
14,Visa,Visa,Credit Card
14,Loan Payable,Loan Payable,Other Current Liabilities
14,Notes Payable,Notes Payable,Long Term Liabilities
14,Process management,Process management,Income
14,Job Materials,Job Materials,Income
14,Decks and Patios,Decks and Patios,Income
14,Design and management services,Design and management services,Income
14,Feasibility studies,Feasibility studies,Income
14,Quality management accreditation,Quality management accreditation,Income
14,Labor,Labor,Income
14,Installation,Installation,Income
14,Maintenance and Repair,Maintenance and Repair,Income
14,Asset management,Asset management,Income
14,Automobile,Automobile,Expenses
14,Fuel,Fuel,Expenses
14,Workers Compensation,Workers Compensation,Expenses
14,Job Expenses,Job Expenses,Expenses
14,Cost of Labor,Cost of Labor,Expenses
14,Installation,Installation,Expenses
14,Maintenance and Repairs,Maintenance and Repairs,Expenses
14,Equipment Repairs,Equipment Repairs,Expenses
14,Gas and Electric,Gas and Electric,Expenses
14,Telephone,Telephone,Expenses
14,Purchases,Purchases,Expenses
14,Quality management assessment,Quality management assessment,Income
14,Design and management services ,Design and management services ,Income
14,Construction management services,Construction management services,Income
14,Design income,Design income,Income
14,Other Income,Other Income,Income
14,Accounts Receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R)
14,Billable Expense Income,Billable Expense Income,Income
14,Discounts given,Discounts given,Income
14,Unapplied Cash Payment Income,Unapplied Cash Payment Income,Income
14,Unapplied Cash Bill Payment Expense,Unapplied Cash Bill Payment Expense,Expenses
14,Arizona Dept. of Revenue Payable,Arizona Dept. of Revenue Payable,Other Current Liabilities
14,Board of Equalization Payable,Board of Equalization Payable,Other Current Liabilities
14,Services,Services,Income
14,Retained Earnings,Retained Earnings,Equity
14,Prepaid Expenses,Prepaid Expenses,Other Current Assets
14,Undeposited Funds,Undeposited Funds,Other Current Assets
14,Equipment Rental,Equipment Rental,Expenses
14,Fees Billed,Fees Billed,Income
14,Refunds-Allowances,Refunds-Allowances,Income
14,Job Materials,Job Materials,Expenses
14,Decks and Patios,Decks and Patios,Expenses
14,Design and management services,Design and management services,Income
14,Feasibility studies,Feasibility studies,Income
14,Quality management accreditation,Quality management accreditation,Income
14,Permits,Permits,Expenses
14,Accounting,Accounting,Expenses
